,Vehicle name,year,month,Price,Volume
0,Chevy Cruze,2010,11,17591.0,13571.0
1,Chevy Cruze,2010,12,17605.0,15408.0
2,Chevy Cruze,2010,9,17693.0,13482.0
3,HoNDA CiviC,2009,6,17807.0,20562.0
4,HoNDA CiviC,2009,7,17828.0,20180.0
5,Chevy Cruze,2009,9,17872.0,13341.0
6,Honda Civic,2008,7,17919.0,20173.0
7,Honda Civic,2010,12,16221.0,20245.0
8,HoNDA CiviC,2009,9,16426.0,20750.0
9,HoNDA CiviC,2009,12,16662.0,20286.0
10,HoNDA CiviC,2010,10,16812.0,20194.0
11,HoNDA CiviC,2010,11,16861.0,20656.0
12,Honda Civic,2008,12,16865.0,20801.0
13,Chevy Cruze,2008,1,203.0,12835.0
14,HoNDA CiviC,2010,6,16886.0,21010.0
15,HoNDA CiviC,2010,8,16979.0,20194.0
16,HoNDA CiviC,2009,11,16995.0,20047.0
17,HoNDA CiviC,2010,9,17141.0,20376.0
18,Honda Civic,2008,10,17178.0,10270.0
19,Honda Civic,2008,10,17178.0,10130.0
20,HoNDA CiviC,2010,5,17266.0,20101.0
21,HoNDA CiviC,2010,7,17301.0,19921.0
22,HoNDA CiviC,2009,5,17526.0,20329.0
23,Chevy Cruze,2010,8,17924.0,13637.0
24,Chevy Cruze,2009,11,17941.0,13208.0
25,Honda Civic,2008,11,18022.0,19809.0
26,Chevy Cruze,2010,10,18035.0,13143.0
27,Chevy Cruze,2009,12,18097.0,13062.0
28,HoNDA CiviC,2010,2,18250.0,20741.0
29,Chevy Cruze,2010,6,18277.0,13560.0
30,Chevy Cruze,2010,7,18313.0,13360.0
31,HoNDA CiviC,2009,8,18321.0,20376.0
32,Chevy Cruze,2010,5,18349.0,13650.0
33,Chevy Cruze,2008,12,18349.0,13049.0
34,Honda Civic,2008,9,18358.0,19385.0
35,Ford Focus Sedan,2010,9,18361.0,16227.0
36,HoNDA CiviC,2010,4,18393.0,20146.0
37,HoNDA CiviC,2009,3,18472.0,20021.0
38,Chevy Cruze,2009,10,18472.0,12828.0
39,Chevy Cruze,2008,10,18509.0,13700.0
40,Chevy Cruze,2008,11,18824.0,13274.0
41,Honda Civic,2008,2,18888.0,20264.0
42,Ford Focus Sedan,2010,12,18928.0,170440.0
43,Chevy Cruze,2009,6,18934.0,12974.0
44,Honda Civic,2008,5,18962.0,19476.0
45,Chevy Cruze,2010,4,18999.0,13185.0
46,Ford Focus Sedan,2008,11,19027.0,16863.0
47,Ford Focus Sedan,2008,9,19059.0,15594.0
48,HoNDA CiviC,2009,1,18534.0,19559.0
49,Ford Focus Sedan,2009,9,18539.0,16254.0
50,Ford Focus Sedan,2009,11,18658.0,16658.0
51,Ford Focus Sedan,2010,8,18673.0,16367.0
52,Ford Focus Sedan,2010,7,18687.0,16086.0
53,Honda Civic,2008,6,18690.0,19889.0
54,Chevy Cruze,2009,8,18741.0,12554.0
55,Ford Focus Sedan,2010,11,18772.0,16632.0
56,HoNDA CiviC,2009,4,18806.0,19639.0
57,Ford Focus Sedan,2008,12,18813.0,15863.0
58,HoNDA CiviC,2010,3,18818.0,20283.0
59,Chevy Cruze,2009,5,19077.0,12559.0
60,Chevy Cruze,2009,7,19109.0,13220.0
61,Honda Civic,2008,3,19111.0,20222.0
62,Honda Civic,2008,8,19171.0,19876.0
63,Honda Civic,2008,1,19186.0,19874.0
64,HoNDA CiviC,2010,1,19209.0,20089.0
65,HoNDA CiviC,2009,2,19265.0,19791.0
66,Chevy Cruze,2008,9,19269.0,12544.0
